1, 2, WinRate, Win, Defeat
147, 225,57.12 ,1508, 1132
139, 176,59.09 ,2870, 1987
148, 149,56.84 ,6394, 4856
158, 160,58.98 ,4476, 3113
168, 203,62.93 ,421, 248
158, 214,61.06 ,6824, 4352
139, 144,58.71 ,6665, 4688
165, 168,58.17 ,395, 284
138, 151,60.5 ,17823, 11638
159, 171,58.01 ,3594, 2602
142, 155,55.18 ,1938, 1574
183, 197,52.91 ,2365, 2105
141, 149,50.58 ,4920, 4808
138, 194,61.63 ,8410, 5236
147, 159,57.34 ,2122, 1579
158, 167,59.48 ,2268, 1545
144, 146,56.98 ,4434, 3348
187, 197,60.75 ,698, 451
135, 153,54.66 ,2737, 2270
132, 137,53.27 ,2930, 2570
138, 169,58.0 ,9522, 6895
144, 174,55.04 ,14438, 11793
143, 146,52.09 ,1070, 984
138, 192,59.16 ,4132, 2852
156, 174,51.49 ,10306, 9708
137, 139,59.81 ,3688, 2478
144, 155,57.6 ,7877, 5798
178, 189,66.15 ,596, 305
146, 182,59.56 ,654, 444
147, 180,54.52 ,1869, 1559
146, 147,54.76 ,2214, 1829
200, 205,54.76 ,1301, 1075
155, 156,51.52 ,5035, 4737
135, 137,59.54 ,5104, 3469
133, 153,55.29 ,805, 651
166, 171,60.11 ,3971, 2635
148, 175,64.01 ,3443, 1936
131, 178,49.72 ,614, 621
155, 169,54.51 ,3578, 2986
167, 175,64.49 ,1193, 657
149, 152,57.06 ,5197, 3911
131, 176,52.31 ,2702, 2463
147, 156,51.77 ,5903, 5499
144, 164,60.79 ,4500, 2902
143, 170,58.28 ,1116, 799
136, 178,73.91 ,1615, 570
137, 197,55.56 ,5667, 4533
135, 147,57.85 ,5130, 3737
167, 174,57.77 ,3755, 2745
157, 168,62.27 ,916, 555
135, 151,58.87 ,8812, 6157
194, 199,54.1 ,2018, 1712
152, 161,58.5 ,4241, 3009
144, 161,58.73 ,7675, 5394
134, 151,63.66 ,3288, 1877
149, 161,56.77 ,5099, 3883
149, 151,54.88 ,8245, 6780
181, 185,64.53 ,804, 442
147, 149,52.84 ,4302, 3840
158, 174,56.14 ,7503, 5862
151, 172,56.73 ,4937, 3766
169, 172,53.88 ,2727, 2334
143, 155,52.94 ,1511, 1343
131, 162,54.34 ,952, 800
146, 174,54.36 ,3824, 3211
148, 151,59.49 ,10806, 7357
149, 173,57.48 ,830, 614
140, 147,54.34 ,2331, 1959
149, 215,56.98 ,2289, 1728
140, 155,55.15 ,4294, 3492
161, 189,65.63 ,1367, 716
140, 153,51.24 ,1679, 1598
156, 158,54.91 ,6436, 5285
158, 201,55.29 ,1668, 1349
140, 197,57.27 ,2485, 1854
170, 197,61.84 ,3989, 2462
152, 153,52.08 ,1538, 1415
170, 171,59.41 ,4416, 3017
144, 152,60.76 ,9989, 6451
138, 148,59.17 ,2068, 1427
165, 187,56.98 ,302, 228
156, 193,53.11 ,2112, 1865
134, 137,62.26 ,1798, 1090
184, 206,49.24 ,875, 902
174, 175,60.3 ,3837, 2526
133, 136,66.52 ,2062, 1038
135, 173,61.15 ,924, 587
137, 168,60.5 ,925, 604
139, 146,61.13 ,3857, 2453
159, 160,58.55 ,2671, 1891
177, 214,67.56 ,4579, 2199
138, 153,56.93 ,4558, 3449
133, 151,58.19 ,2671, 1919
135, 187,61.29 ,597, 377
161, 183,54.7 ,1529, 1266
150, 166,64.78 ,1350, 734
133, 148,61.8 ,2092, 1293
167, 169,56.51 ,2436, 1875
148, 157,59.23 ,4401, 3029
171, 179,54.81 ,1549, 1277
132, 191,70.18 ,1146, 487
190, 194,61.32 ,2532, 1597
171, 176,57.08 ,3373, 2536
158, 243,60.79 ,2298, 1482
137, 142,52.95 ,2172, 1930
138, 180,57.54 ,4087, 3016
176, 190,60.07 ,1256, 835
131, 167,55.66 ,3572, 2846
151, 162,60.74 ,3074, 1987
179, 186,62.07 ,702, 429
142, 164,54.36 ,742, 623
151, 171,55.58 ,12433, 9937
148, 181,61.47 ,4544, 2848
189, 197,60.09 ,1516, 1007
161, 173,59.82 ,813, 546
142, 214,57.53 ,2567, 1895
143, 149,51.79 ,2327, 2166
161, 170,61.64 ,2235, 1391
139, 143,56.26 ,2292, 1782
136, 168,69.07 ,1670, 748
155, 181,59.64 ,3206, 2170
144, 166,62.8 ,5920, 3507
138, 164,59.74 ,3772, 2542
139, 149,57.32 ,4006, 2983
176, 177,59.84 ,587, 394
171, 177,62.94 ,3702, 2180
143, 148,55.1 ,2772, 2259
165, 171,52.33 ,3220, 2933
132, 152,62.0 ,5078, 3112
178, 213,64.9 ,1392, 753
172, 173,55.06 ,419, 342
140, 204,55.31 ,5393, 4357
146, 152,59.02 ,2877, 1998
151, 163,56.4 ,1269, 981
135, 177,64.3 ,2894, 1607
153, 160,53.98 ,2415, 2059
136, 158,66.51 ,5376, 2707
141, 146,52.34 ,2657, 2419
135, 146,58.03 ,3140, 2271
152, 155,57.89 ,3821, 2779
157, 174,54.42 ,4762, 3988
144, 165,58.62 ,5051, 3566
131, 175,61.2 ,3972, 2518
171, 183,49.94 ,2770, 2777
144, 145,57.69 ,1227, 900
159, 186,69.12 ,1822, 814
170, 214,65.87 ,4548, 2356
151, 159,59.72 ,3887, 2622
136, 159,68.74 ,3652, 1661
140, 159,56.59 ,2287, 1754
157, 171,56.33 ,5140, 3984
147, 214,60.03 ,6688, 4453
133, 149,56.43 ,1725, 1332
132, 162,60.57 ,1381, 899
157, 194,59.54 ,1170, 795
176, 184,55.94 ,1851, 1458
153, 156,48.75 ,3399, 3573
156, 161,53.94 ,2053, 1753
135, 152,62.39 ,5986, 3609
146, 191,70.44 ,634, 266
158, 171,57.07 ,5744, 4321
147, 198,60.34 ,2145, 1410
174, 198,59.05 ,3810, 2642
135, 141,57.01 ,5840, 4403
137, 149,51.73 ,2875, 2683
192, 214,62.48 ,2912, 1749
167, 171,56.09 ,3602, 2820
132, 186,67.52 ,3337, 1605
141, 183,47.96 ,1623, 1761
141, 144,55.02 ,10945, 8947
156, 164,54.07 ,2793, 2373
133, 144,56.34 ,2533, 1963
151, 184,56.24 ,6454, 5022
176, 199,51.01 ,982, 943
132, 144,57.87 ,7632, 5557
146, 171,54.25 ,3929, 3313
138, 163,58.69 ,1777, 1251
136, 174,58.71 ,1601, 1126
139, 163,59.0 ,672, 467
140, 141,49.77 ,2762, 2787
134, 144,63.77 ,3857, 2191
147, 167,59.06 ,2285, 1584
184, 187,57.31 ,384, 286
132, 197,57.19 ,5415, 4054
133, 155,60.11 ,1421, 943
137, 151,56.17 ,7346, 5733
143, 150,58.66 ,1074, 757
141, 151,53.12 ,6638, 5859
136, 169,63.69 ,5234, 2984
156, 166,57.08 ,3934, 2958
140, 157,56.5 ,3109, 2394
147, 158,56.88 ,3705, 2809
153, 159,50.39 ,775, 763
143, 165,54.35 ,556, 467
146, 165,53.78 ,1123, 965
143, 192,56.06 ,847, 664
143, 153,47.64 ,625, 687
166, 169,57.67 ,1928, 1415
132, 143,53.08 ,1604, 1418
150, 197,55.07 ,1911, 1559
133, 156,49.6 ,620, 630
137, 174,52.9 ,6724, 5986
137, 148,56.32 ,5502, 4267
171, 205,55.57 ,4103, 3280
168, 170,62.79 ,464, 275
138, 177,65.1 ,5001, 2681
157, 158,56.47 ,3087, 2380
146, 156,52.67 ,3641, 3272
137, 164,54.85 ,1850, 1523
142, 158,52.42 ,1388, 1260
186, 192,60.19 ,1273, 842
131, 157,54.14 ,4443, 3764
134, 223,62.08 ,2020, 1234
190, 223,53.7 ,2252, 1942
142, 236,51.54 ,1172, 1102
136, 160,65.97 ,5953, 3071
144, 150,61.86 ,4127, 2545
131, 152,55.4 ,6863, 5526
140, 164,56.4 ,1207, 933
134, 135,67.44 ,3041, 1468
151, 168,58.98 ,1550, 1078
169, 192,55.57 ,2010, 1607
151, 193,57.19 ,2128, 1593
138, 142,48.1 ,253, 273
152, 182,56.7 ,690, 527
149, 184,55.48 ,3985, 3198
137, 184,55.84 ,3406, 2694
152, 157,61.7 ,3469, 2153
160, 163,55.39 ,694, 559
152, 186,68.92 ,2936, 1324
137, 192,55.67 ,1256, 1000
132, 171,55.39 ,5837, 4701
133, 171,56.13 ,2330, 1821
155, 184,56.92 ,3695, 2797
137, 171,52.03 ,6390, 5892
141, 194,55.92 ,4499, 3546
149, 175,62.6 ,3270, 1954
157, 162,59.12 ,1228, 849
131, 148,49.53 ,1044, 1064
137, 146,54.69 ,1761, 1459
131, 140,51.3 ,2328, 2210
134, 146,60.05 ,466, 310
138, 159,62.17 ,4995, 3040
136, 156,60.65 ,7312, 4745
140, 156,52.24 ,6655, 6084
139, 142,59.05 ,2182, 1513
166, 194,60.58 ,2397, 1560
138, 237,60.02 ,5013, 3339
159, 214,64.11 ,4231, 2369
175, 176,61.41 ,740, 465
148, 220,53.84 ,1522, 1305
132, 183,52.41 ,1033, 938
135, 156,55.11 ,2335, 1902
131, 159,53.52 ,3178, 2760
156, 226,49.8 ,2488, 2508
167, 177,64.81 ,1328, 721
133, 174,56.97 ,2441, 1844
144, 208,52.06 ,898, 827
151, 174,53.46 ,12404, 10798
141, 169,52.51 ,1943, 1757
156, 177,57.97 ,3597, 2608
135, 165,58.57 ,2497, 1766
173, 201,57.98 ,443, 321
206, 214,57.82 ,2467, 1800
165, 175,58.19 ,799, 574
135, 149,58.0 ,6228, 4510
155, 157,57.89 ,2587, 1882
157, 175,62.71 ,1687, 1003
140, 145,58.51 ,433, 307
146, 157,58.57 ,2043, 1445
133, 138,59.94 ,2833, 1893
132, 172,54.92 ,1849, 1518
147, 174,53.25 ,5798, 5090
131, 180,50.17 ,2833, 2814
137, 180,55.8 ,1857, 1471
204, 214,63.34 ,14789, 8559
160, 162,60.57 ,1945, 1266
141, 165,51.76 ,1135, 1058
142, 170,59.76 ,1096, 738
141, 202,48.64 ,695, 734
131, 177,59.57 ,3261, 2213
140, 180,53.03 ,2084, 1846
150, 155,61.87 ,2061, 1270
157, 172,56.51 ,1991, 1532
165, 208,53.58 ,232, 201
222, 236,59.14 ,207, 143
159, 194,59.13 ,2374, 1641
182, 215,62.93 ,735, 433
134, 166,64.79 ,666, 362
135, 181,62.46 ,4111, 2471
157, 160,56.09 ,1009, 790
167, 192,57.4 ,876, 650
134, 147,63.35 ,1682, 973
171, 178,59.45 ,1154, 787
148, 169,56.19 ,6015, 4689
132, 157,59.01 ,3570, 2480
134, 136,72.43 ,2725, 1037
166, 193,57.35 ,636, 473
146, 150,62.28 ,1364, 826
189, 206,50.26 ,95, 94
179, 197,57.29 ,1411, 1052
159, 203,59.69 ,921, 622
185, 186,68.41 ,563, 260
157, 166,62.07 ,1967, 1202
137, 157,55.99 ,3010, 2366
135, 170,61.25 ,2663, 1685
175, 220,55.12 ,468, 381
171, 175,61.05 ,4043, 2579
147, 150,60.25 ,2049, 1352
140, 201,54.39 ,2439, 2045
150, 151,61.49 ,4063, 2545
131, 138,46.64 ,778, 890
132, 174,55.74 ,6435, 5109
146, 169,54.87 ,2635, 2167
163, 184,56.41 ,634, 490
133, 172,56.74 ,791, 603
138, 145,61.67 ,1041, 647
161, 192,59.86 ,1797, 1205
161, 219,55.15 ,412, 335
140, 203,54.57 ,853, 710
149, 180,54.06 ,2012, 1710
151, 194,59.06 ,7342, 5089
171, 231,56.83 ,5107, 3880
148, 171,53.89 ,1518, 1299
137, 172,55.62 ,2366, 1888
141, 142,51.8 ,1803, 1678
158, 197,55.66 ,4749, 3783
171, 200,47.73 ,724, 793
160, 190,60.8 ,2612, 1684
168, 182,61.56 ,261, 163
139, 171,58.98 ,9099, 6328
148, 160,60.11 ,6162, 4090
140, 200,51.49 ,1277, 1203
149, 168,57.01 ,1184, 893
132, 165,56.63 ,2136, 1636
139, 204,58.17 ,9060, 6516
173, 193,57.49 ,188, 139
139, 155,57.4 ,3650, 2709
160, 169,55.25 ,4559, 3692
174, 204,55.82 ,11981, 9483
174, 214,59.43 ,12718, 8683
148, 158,59.89 ,4792, 3210
151, 200,54.18 ,4534, 3835
140, 160,56.05 ,4375, 3430
156, 159,54.73 ,3835, 3172
147, 183,49.76 ,1359, 1372
204, 226,54.62 ,3023, 2512
136, 192,66.16 ,2467, 1262
139, 193,57.37 ,1398, 1039
144, 158,56.99 ,6824, 5150
191, 192,69.95 ,512, 220
143, 152,54.55 ,1193, 994
139, 158,60.59 ,5021, 3266
136, 177,72.19 ,3338, 1286
149, 169,53.38 ,5048, 4409
134, 236,61.63 ,1542, 960
134, 140,64.76 ,2016, 1097
159, 210,60.36 ,469, 308
149, 174,51.35 ,7985, 7564
133, 140,59.1 ,1714, 1186
136, 175,69.28 ,3026, 1342
136, 146,64.44 ,3262, 1800
135, 172,57.09 ,2950, 2217
169, 196,55.9 ,365, 288
148, 180,58.55 ,2777, 1966
136, 142,59.47 ,358, 244
138, 189,64.89 ,2632, 1424
174, 203,54.73 ,1839, 1521
135, 174,56.43 ,8005, 6181
144, 181,53.78 ,3553, 3053
131, 179,51.65 ,1439, 1347
138, 166,62.55 ,5085, 3045
162, 218,61.21 ,396, 251
177, 228,57.86 ,677, 493
205, 221,55.61 ,520, 415
151, 206,50.13 ,1773, 1764
131, 164,54.14 ,2234, 1892
137, 160,56.21 ,3924, 3057
152, 184,58.34 ,3550, 2535
169, 179,54.72 ,979, 810
138, 199,53.41 ,4199, 3663
131, 155,54.09 ,6632, 5628
134, 163,63.29 ,269, 156
131, 165,49.62 ,2311, 2346
143, 175,60.83 ,781, 503
169, 178,60.34 ,1978, 1300
136, 194,67.07 ,5425, 2664
132, 155,59.07 ,5043, 3494
148, 185,60.81 ,1387, 894
144, 178,61.88 ,4582, 2823
149, 171,53.24 ,7825, 6872
149, 167,58.75 ,2698, 1894
139, 170,62.88 ,2202, 1300
160, 197,57.04 ,5845, 4403
149, 200,50.61 ,2570, 2508
174, 199,47.54 ,2988, 3297
144, 177,63.58 ,5249, 3007
139, 160,60.76 ,4678, 3021
141, 178,56.94 ,1925, 1456
138, 176,59.3 ,4659, 3197
140, 148,54.68 ,2750, 2279
133, 134,67.34 ,804, 390
137, 150,61.09 ,2024, 1289
156, 216,48.93 ,5562, 5806
164, 167,62.37 ,1107, 668
131, 169,50.28 ,6188, 6118
150, 160,59.94 ,1010, 675
156, 203,56.9 ,2919, 2211
156, 182,55.52 ,1513, 1212
152, 177,65.09 ,1954, 1048
133, 176,61.54 ,957, 598
171, 199,48.62 ,2971, 3140
161, 191,73.48 ,1391, 502
172, 176,55.98 ,1353, 1064
195, 204,49.92 ,991, 994
200, 217,54.34 ,2017, 1695
157, 164,58.2 ,1472, 1057
160, 164,56.77 ,1938, 1476
144, 147,55.2 ,8225, 6676
160, 168,61.24 ,1122, 710
149, 153,49.95 ,2075, 2079
133, 197,57.54 ,1924, 1420
145, 151,56.9 ,816, 618
150, 174,54.6 ,2779, 2311
216, 223,52.75 ,7051, 6315
153, 158,54.44 ,1434, 1200
160, 186,65.16 ,3779, 2021
156, 194,52.19 ,2225, 2038
172, 181,56.55 ,1675, 1287
137, 170,59.57 ,2431, 1650
140, 165,51.92 ,1325, 1227
139, 165,57.21 ,2217, 1658
151, 204,57.0 ,11137, 8400
184, 194,59.6 ,3307, 2242
160, 202,52.78 ,741, 663
138, 204,59.6 ,15667, 10620
158, 169,54.89 ,4001, 3288
149, 166,59.07 ,2976, 2062
139, 208,59.89 ,651, 436
198, 211,62.93 ,1100, 648
139, 156,57.06 ,6804, 5120
153, 161,53.74 ,2258, 1944
156, 211,56.92 ,2661, 2014
135, 214,64.82 ,4629, 2512
136, 217,65.24 ,4737, 2524
141, 160,55.09 ,5068, 4131
202, 215,51.56 ,412, 387
151, 169,54.08 ,6201, 5265
144, 194,59.57 ,7158, 4858
138, 216,58.43 ,13855, 9858
162, 184,55.71 ,546, 434
169, 216,52.26 ,6087, 5561
135, 157,59.1 ,1111, 769
149, 159,57.68 ,2284, 1676
139, 169,57.09 ,5047, 3793
153, 167,56.02 ,1289, 1012
134, 143,58.88 ,779, 544
148, 182,61.75 ,1569, 972
147, 157,55.07 ,2915, 2378
152, 163,56.69 ,767, 586
147, 161,56.7 ,4001, 3056
134, 138,66.88 ,3589, 1777
184, 190,60.71 ,1667, 1079
174, 182,56.95 ,1720, 1300
135, 179,58.53 ,1478, 1047
184, 213,59.75 ,2184, 1471
164, 181,62.54 ,1701, 1019
156, 175,58.73 ,3441, 2418
161, 198,57.9 ,685, 498
194, 202,52.54 ,611, 552
180, 216,54.21 ,2048, 1730
207, 216,61.21 ,557, 353
131, 185,53.65 ,962, 831
169, 170,56.95 ,2619, 1980
149, 181,56.01 ,2194, 1723
138, 174,51.5 ,1355, 1276
146, 148,58.82 ,3263, 2284
136, 161,64.61 ,4709, 2579
137, 158,56.31 ,2779, 2156
132, 134,61.91 ,551, 339
164, 171,55.14 ,2853, 2321
194, 200,54.75 ,2219, 1834
133, 142,58.14 ,743, 535
144, 220,51.47 ,1506, 1420
134, 139,67.24 ,2416, 1177
141, 192,54.32 ,2199, 1849
146, 160,55.42 ,2585, 2079
174, 194,56.07 ,6544, 5127
136, 198,65.18 ,2892, 1545
141, 159,55.9 ,2460, 1941
146, 170,58.45 ,1100, 782
147, 153,48.9 ,800, 836
136, 143,64.75 ,2406, 1310
138, 171,50.0 ,1357, 1357
144, 184,55.86 ,6977, 5513
148, 150,61.12 ,2287, 1455
144, 188,46.95 ,909, 1027
138, 186,65.06 ,4569, 2454
142, 157,54.79 ,1242, 1025
197, 201,55.11 ,2974, 2422
148, 166,62.17 ,3259, 1983
162, 165,60.28 ,847, 558
151, 198,58.47 ,4113, 2921
137, 183,53.79 ,1795, 1542
152, 180,58.93 ,2250, 1568
190, 236,55.87 ,1843, 1456
160, 174,56.15 ,7268, 5677
149, 164,54.89 ,1910, 1570
141, 188,48.34 ,697, 745
133, 177,62.95 ,746, 439
136, 183,62.23 ,2636, 1600
152, 159,58.95 ,2681, 1867
152, 167,58.53 ,2539, 1799
149, 172,53.45 ,2449, 2133
144, 204,58.1 ,16720, 12057
144, 197,57.17 ,11763, 8812
139, 140,58.7 ,5250, 3694
141, 143,49.29 ,973, 1001
147, 169,52.96 ,1523, 1353
161, 201,58.0 ,2247, 1627
176, 181,60.19 ,2049, 1355
170, 184,57.9 ,1964, 1428
