1, 2, WinRate, Win, Defeat
19, 47,46.89 ,1864, 2111
16, 36,43.22 ,663, 871
17, 70,38.39 ,1398, 2244
6, 83,53.64 ,3632, 3139
34, 44,39.54 ,2005, 3066
28, 84,46.38 ,5094, 5890
25, 32,46.15 ,1445, 1686
1, 29,40.43 ,2473, 3644
20, 36,51.59 ,1088, 1021
13, 14,36.4 ,2424, 4236
16, 48,42.69 ,788, 1058
6, 17,50.01 ,3298, 3297
2, 22,44.94 ,3742, 4585
10, 27,40.18 ,2172, 3234
44, 56,45.91 ,2644, 3115
2, 55,36.94 ,116, 198
6, 25,47.51 ,4326, 4780
7, 12,38.4 ,1569, 2517
13, 50,38.86 ,609, 958
10, 31,41.26 ,2969, 4226
1, 74,38.47 ,7615, 12181
8, 25,44.64 ,7158, 8878
23, 25,37.5 ,1533, 2555
1, 35,34.04 ,1678, 3252
5, 36,47.16 ,2289, 2565
30, 32,46.56 ,1388, 1593
19, 22,42.0 ,3832, 5291
7, 60,45.64 ,1492, 1777
14, 56,47.88 ,5275, 5742
8, 32,43.46 ,1017, 1323
29, 45,47.84 ,921, 1004
19, 32,44.29 ,1465, 1843
25, 29,43.43 ,2007, 2614
14, 25,38.56 ,4979, 7934
95, 101,43.53 ,787, 1021
27, 39,40.39 ,2464, 3637
10, 50,39.28 ,1504, 2325
10, 69,32.95 ,1359, 2766
1, 84,43.73 ,8052, 10361
8, 52,46.76 ,1689, 1923
11, 67,37.36 ,4034, 6763
20, 23,43.77 ,949, 1219
28, 46,43.7 ,1786, 2301
44, 48,42.47 ,682, 924
9, 12,39.78 ,1450, 2195
27, 46,41.66 ,1239, 1735
25, 35,35.41 ,1048, 1912
31, 35,37.51 ,1144, 1906
41, 60,43.28 ,2526, 3310
10, 28,39.12 ,2468, 3840
17, 18,44.63 ,4099, 5086
7, 46,43.84 ,1893, 2425
14, 68,40.19 ,2894, 4306
29, 46,45.33 ,1019, 1229
18, 44,34.93 ,1070, 1993
30, 51,45.53 ,2659, 3181
4, 14,44.76 ,2479, 3060
9, 35,40.3 ,1475, 2185
22, 63,43.09 ,1116, 1474
20, 44,39.16 ,2012, 3126
2, 19,40.86 ,2783, 4028
9, 66,47.11 ,261, 293
41, 51,43.47 ,3888, 5056
9, 60,48.47 ,2392, 2543
32, 53,41.47 ,530, 748
41, 50,39.8 ,2297, 3474
