1, 2, WinRate, Win, Defeat
33, 43,51.34 ,230, 218
8, 45,57.14 ,9336, 7003
5, 30,51.06 ,2458, 2356
4, 87,56.2 ,3209, 2501
55, 67,50.23 ,1713, 1697
7, 11,45.88 ,8387, 9895
37, 49,52.17 ,1117, 1024
40, 44,49.72 ,7242, 7324
52, 64,52.29 ,1700, 1551
8, 17,51.36 ,13727, 12999
19, 41,46.5 ,13845, 15931
21, 29,51.69 ,6815, 6370
14, 29,51.85 ,7342, 6817
2, 33,48.49 ,884, 939
7, 14,47.84 ,8996, 9810
1, 90,41.57 ,2223, 3125
18, 87,50.38 ,8844, 8712
2, 26,45.54 ,11476, 13725
36, 41,52.78 ,7099, 6352
5, 12,48.81 ,3542, 3715
5, 38,54.25 ,2163, 1824
26, 27,42.88 ,2811, 3744
23, 74,43.55 ,4015, 5205
22, 67,50.47 ,14330, 14064
41, 71,45.23 ,6005, 7272
5, 41,49.76 ,13905, 14038
14, 47,55.29 ,8810, 7124
6, 8,52.8 ,3181, 2844
2, 18,52.27 ,9572, 8740
8, 80,53.75 ,2826, 2432
11, 16,44.82 ,4536, 5585
3, 52,53.36 ,707, 618
19, 26,42.84 ,11143, 14869
6, 18,55.68 ,3382, 2692
25, 40,52.37 ,3826, 3480
14, 45,55.45 ,8564, 6880
10, 22,50.23 ,6338, 6280
22, 48,54.36 ,3663, 3076
9, 17,51.73 ,8649, 8070
66, 93,48.13 ,681, 734
8, 20,52.19 ,5772, 5287
1, 72,41.9 ,579, 803
41, 52,51.2 ,3156, 3008
44, 50,48.77 ,6500, 6828
10, 20,53.43 ,4142, 3610
5, 39,48.41 ,9062, 9658
18, 85,56.11 ,6334, 4955
7, 30,48.49 ,6744, 7163
7, 13,42.61 ,3461, 4662
16, 17,47.4 ,3907, 4335
14, 20,54.07 ,6986, 5934
10, 12,45.84 ,1416, 1673
13, 14,44.4 ,5962, 7466
40, 63,51.14 ,1146, 1095
10, 40,51.72 ,4536, 4234
20, 39,52.92 ,4128, 3672
31, 46,53.79 ,4702, 4039
10, 25,47.85 ,7366, 8028
2, 5,51.0 ,8866, 8519
23, 31,45.6 ,3906, 4659
39, 58,43.35 ,1122, 1466
45, 84,61.33 ,8008, 5049
11, 12,44.26 ,3087, 3887
6, 41,51.36 ,3843, 3639
11, 18,48.49 ,10468, 11120
14, 31,50.25 ,12932, 12802
1, 16,45.89 ,6032, 7113
5, 7,51.59 ,8806, 8264
23, 32,48.22 ,1315, 1412
14, 100,45.67 ,4636, 5516
30, 46,50.46 ,4368, 4288
19, 44,45.15 ,14147, 17183
33, 95,51.1 ,675, 646
22, 31,50.63 ,7419, 7233
10, 64,50.47 ,6925, 6795
19, 38,52.62 ,2173, 1957
11, 22,45.08 ,3803, 4633
9, 36,55.55 ,5221, 4178
21, 23,45.19 ,5877, 7127
5, 42,48.66 ,5078, 5357
21, 45,53.99 ,6379, 5437
1, 28,45.03 ,8601, 10501
5, 74,51.04 ,15878, 15230
1, 15,48.68 ,1140, 1202
37, 67,51.58 ,8626, 8098
39, 54,47.63 ,6201, 6818
5, 14,51.98 ,16344, 15100
25, 26,43.64 ,8717, 11256
7, 45,54.94 ,4318, 3542
9, 22,55.99 ,10081, 7925
27, 29,52.54 ,3454, 3120
31, 63,49.43 ,2251, 2303
22, 41,49.14 ,14716, 15230
42, 74,48.31 ,8264, 8842
51, 60,56.16 ,2358, 1841
30, 74,48.68 ,14004, 14764
17, 44,45.55 ,10028, 11988
47, 48,57.21 ,1781, 1332
1, 76,42.29 ,2999, 4092
2, 41,47.64 ,10210, 11222
45, 59,59.92 ,873, 584
21, 48,53.3 ,6144, 5383
16, 21,49.06 ,7155, 7430
6, 51,61.92 ,9863, 6065
3, 16,51.36 ,1700, 1610
1, 31,48.47 ,11222, 11930
12, 25,47.09 ,3338, 3750
10, 47,52.41 ,2830, 2570
14, 21,49.05 ,26488, 27516
5, 44,48.56 ,13693, 14504
39, 53,41.74 ,2527, 3527
30, 70,45.1 ,3970, 4832
41, 103,46.84 ,2105, 2389
22, 44,50.83 ,14410, 13938
64, 86,49.19 ,7343, 7586
9, 62,49.22 ,2281, 2353
39, 90,41.54 ,1649, 2321
63, 75,46.5 ,1254, 1443
18, 30,52.07 ,10747, 9892
25, 37,53.09 ,3776, 3336
18, 59,56.99 ,2834, 2139
19, 25,46.91 ,7128, 8067
7, 40,52.03 ,4237, 3906
12, 23,43.85 ,1484, 1900
16, 27,51.11 ,3578, 3423
2, 46,51.85 ,4074, 3783
1, 74,45.53 ,17615, 21075
8, 94,46.11 ,2293, 2680
21, 56,56.2 ,9010, 7022
26, 35,42.74 ,5125, 6866
41, 64,50.43 ,13010, 12790
22, 26,46.82 ,11832, 13440
25, 93,47.38 ,9213, 10233
14, 51,46.17 ,5956, 6943
1, 17,43.85 ,10030, 12841
3, 39,46.33 ,2410, 2792
22, 47,55.85 ,3305, 2613
26, 56,53.98 ,8614, 7344
14, 27,49.67 ,10082, 10218
3, 30,50.54 ,747, 731
9, 19,50.24 ,6954, 6888
44, 60,49.44 ,6274, 6416
21, 41,47.6 ,21811, 24010
44, 74,48.23 ,20702, 22220
10, 54,47.02 ,2974, 3351
8, 16,52.93 ,9332, 8300
16, 25,49.16 ,5463, 5649
16, 46,49.89 ,2478, 2489
21, 40,53.02 ,7130, 6318
2, 48,55.26 ,3522, 2851
6, 26,51.5 ,12379, 11659
30, 35,46.01 ,3637, 4267
1, 18,41.69 ,1845, 2581
16, 54,48.93 ,3587, 3744
3, 19,49.44 ,2964, 3031
10, 17,46.31 ,3988, 4623
93, 97,46.27 ,7146, 8297
8, 30,52.16 ,17075, 15660
6, 74,55.91 ,15346, 12100
17, 95,49.81 ,2603, 2623
28, 67,47.52 ,8144, 8995
18, 19,50.7 ,11511, 11191
28, 30,51.75 ,7707, 7187
38, 73,57.27 ,756, 564
21, 30,49.8 ,13780, 13891
28, 84,53.78 ,11918, 10242
5, 19,50.88 ,10759, 10386
23, 27,46.34 ,3099, 3588
35, 38,50.22 ,677, 671
6, 30,57.2 ,10182, 7620
30, 81,54.56 ,3426, 2853
7, 9,51.92 ,6438, 5961
53, 67,47.07 ,4247, 4776
41, 86,46.01 ,17890, 20991
8, 64,54.51 ,15060, 12569
55, 81,52.09 ,361, 332
1, 40,50.13 ,6850, 6814
17, 29,50.03 ,3731, 3726
14, 36,54.61 ,10075, 8375
28, 37,52.37 ,3919, 3565
7, 54,48.49 ,6077, 6456
25, 86,45.7 ,7627, 9063
44, 49,45.58 ,2792, 3334
44, 45,52.9 ,6725, 5987
14, 16,48.02 ,7352, 7958
22, 45,56.24 ,3454, 2688
57, 67,50.93 ,1203, 1159
5, 23,46.8 ,4629, 5263
16, 44,46.45 ,6668, 7688
2, 7,45.74 ,5083, 6029
21, 44,45.57 ,21392, 25551
8, 39,50.5 ,16577, 16247
11, 37,48.32 ,4417, 4724
8, 68,53.81 ,8190, 7030
23, 44,43.72 ,5742, 7393
13, 16,45.05 ,1856, 2264
8, 62,52.0 ,7211, 6657
26, 44,43.58 ,17844, 23104
14, 25,48.35 ,12856, 13732
48, 59,59.51 ,1048, 713
5, 21,51.08 ,15488, 14836
16, 52,53.02 ,1193, 1057
10, 45,52.49 ,3747, 3391
35, 42,48.53 ,2689, 2852
14, 49,48.11 ,3700, 3991
17, 50,46.7 ,3194, 3646
11, 31,48.09 ,8402, 9070
35, 40,48.97 ,1896, 1976
18, 49,51.72 ,2213, 2066
5, 26,45.85 ,3956, 4672
70, 75,46.2 ,2149, 2503
27, 44,47.15 ,8248, 9245
3, 23,47.94 ,1397, 1517
25, 44,48.32 ,12977, 13881
19, 30,48.92 ,8271, 8636
1, 48,43.09 ,1078, 1424
37, 45,57.02 ,2125, 1602
22, 27,53.72 ,5980, 5152
19, 22,49.53 ,9029, 9202
1, 46,44.95 ,4655, 5702
17, 26,43.72 ,10161, 13082
14, 34,50.75 ,7620, 7394
18, 39,48.8 ,10599, 11122
6, 48,65.81 ,2718, 1412
14, 67,48.39 ,19391, 20680
7, 67,47.37 ,9576, 10638
1, 22,47.82 ,12232, 13346
13, 32,49.66 ,1170, 1186
37, 44,50.99 ,6684, 6424
27, 38,53.86 ,1547, 1325
21, 34,47.2 ,4235, 4737
1, 41,36.43 ,1292, 2255
6, 71,56.99 ,5945, 4486
3, 5,49.93 ,708, 710
64, 69,46.08 ,3487, 4080
1, 27,46.27 ,7681, 8920
4, 21,55.74 ,5690, 4518
19, 31,49.85 ,9041, 9096
3, 8,52.73 ,5024, 4503
8, 29,55.01 ,8845, 7233
51, 55,57.45 ,1427, 1057
28, 44,48.93 ,12887, 13449
21, 42,48.74 ,8615, 9062
39, 42,45.65 ,4712, 5609
13, 25,45.93 ,2696, 3174
44, 52,49.35 ,2975, 3053
